Site,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
National Botanic Garden of Wales,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[34, 1, 'Feb', 0, None, None]","[32, 1, 'Sep', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[21, 1, 'Dec', 0, None, None]",2019-12-04 19:48:46
St Mary Bourne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[8, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,"[18, 1, 'Jan', 0, None, None]","[30, 1, 'Feb', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[30, 1, 'Dec', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[17, 1, 'Oct', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[23, 1, 'Oct', 0, None, None]","[26, 1, 'Oct', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[27, 1, 'Oct', 0, None, None]",nan,2019-12-04 19:48:46
Wanlip North Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Oct', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[9, 2, 'Dec', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[6, 2, 'Dec', 0, None, None]","[7, 1, 'May', 0, None, None]","[10, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[23, 1, 'Feb', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[30, 1, 'Dec', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[24, 1, 'Sep', 0, None, None]","[27, 1, 'Oct', 0, None, None]","[31, 1, 'Sep', 0, None, None]","[34, 1, 'Nov', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[18, 1, 'Feb', 0, None, None]",2019-12-04 19:48:46
Arcot Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Oct', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[18, 1, 'Sep', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[15, 1, 'Aug', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[38, 1, 'Dec', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[9, 1, 'Jul', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[11, 1, 'Jul', 0, None, None]","[28, 1, 'Nov', 0, None, None]","[35, 1, 'Oct', 0, None, None]","[47, 1, 'Oct', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[9, 1, 'Oct', 0, None, None]",2019-12-04 19:48:46
Bedfont and Ashford Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[15, 1, 'Dec', 0, None, None]","[7, 1, 'Sep', 0, None, None]",nan,"[18, 2, 'Mar', 0, None, None]","[15, 2, 'Sep', 0, None, None]","[16, 2, 'Oct', 0, None, None]","[10, 2, 'Feb', 0, None, None]","[24, 2, 'Feb', 0, None, None]","[28, 1, 'Jan', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[25, 2, 'Dec', 0, None, None]",nan,nan,nan,"[19, 1, 'Sep', 0, None, None]","[62, 1, 'Nov', 0, None, None]","[39, 2, 'Sep', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[44, 1, 'Sep', 0, None, None]",nan,"[14, 1, 'Mar', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[21, 1, 'Jul', 0, None, None]","[17, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[46, 1, 'Oct', 0, None, None]","[20, 1, 'Sep', 0, None, None]",2019-12-04 19:48:46
Bennerley Marsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[41, 1, 'Jan', 0, None, None]","[17, 1, 'Jul', 0, None, None]","[13, 1, 'Dec', 0, None, None]",nan,nan,"[12, 1, 'Dec', 0, None, None]","[14, 2, 'Oct', 0, None, None]","[13, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,"[44, 1, 'Apr', 0, None, None]","[56, 1, 'Mar', 0, None, None]","[81, 1, 'Jan', 0, None, None]","[105, 1, 'Jan', 0, None, None]","[47, 1, 'Dec', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[16, 1, 'Nov', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[24, 1, 'Feb', 0, None, None]","[18, 1, 'Mar', 0, None, None]","[19, 1, 'Dec', 0, None, None]","[41, 1, 'Dec', 0, None, None]",2019-12-04 19:48:46
Cassington and Yarnton Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Oct', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[13, 1, 'Jun', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[17, 1, 'Sep', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[21, 1, 'Jul', 0, None, None]","[38, 1, 'Aug', 0, None, None]",nan,nan,2019-12-04 19:48:46
Diss Mere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Jan', 0, None, None]","[11, 1, 'Oct', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[16, 1, 'Oct', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[19, 1, 'Jan', 0, None, None]","[30, 1, 'Dec', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[15, 1, 'Aug', 0, None, None]",2019-12-04 19:48:46
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[20, 1, 'Aug', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[29, 1, 'Sep', 0, None, None]","[30, 1, 'Nov', 0, None, None]","[34, 1, 'Oct', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[19, 1, 'Sep', 0, None, None]","[46, 1, 'Sep', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[9, 1, 'Aug', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[13, 1, 'Jul', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[23, 1, 'Oct', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[42, 1, 'Nov', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[14, 1, 'Oct', 0, None, None]",2019-12-04 19:48:46
Furber's Flood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Sep', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[7, 1, 'Apr', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[31, 1, 'Nov', 0, None, None]","[24, 1, 'Nov', 0, None, None]","[32, 2, 'Nov', 0, None, None]","[12, 1, 'Jan', 0, None, None]",2019-12-04 19:48:46
Nene Washes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[26, 1, 'Mar', 0, None, None]","[32, 1, 'Jan', 0, None, None]","[39, 2, 'May', 0, None, None]","[37, 1, 'Mar', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[48, 1, 'Mar', 0, None, None]","[33, 1, 'Mar', 0, None, None]","[33, 1, 'Feb', 0, None, None]","[35, 1, 'Dec', 0, None, None]","[46, 1, 'Dec', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[36, 1, 'Oct', 0, None, None]","[73, 1, 'Feb', 0, None, None]","[65, 1, 'Feb', 0, None, None]","[61, 1, 'Dec', 0, None, None]","[27, 1, 'Feb', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[23, 1, 'Feb', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[38, 1, 'Feb', 0, None, None]","[21, 1, 'Nov', 0, None, None]","[20, 2, 'Dec', 0, None, None]","[31, 1, 'Dec', 0, None, None]",2019-12-04 19:48:46
Nunnery Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12, 1, 'May', 0, None, None]",nan,nan,"[11, 1, 'Mar', 0, None, None]",nan,"[12, 1, 'Feb', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[22, 1, 'Feb', 0, None, None]","[17, 1, 'Nov', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[14, 1, 'Nov', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[16, 1, 'Oct', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[22, 1, 'Nov', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[18, 2, 'Oct', 0, None, None]","[19, 1, 'Aug', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[21, 1, 'Feb', 0, None, None]",2019-12-04 19:48:46
Queen Mary`s Gardens Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[18, 1, 'Jan', 0, None, None]","[28, 1, 'Oct', 0, None, None]",2019-12-04 19:48:46
River Test - Broadlands Estate,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[48, 1, 'Mar', 0, None, None]","[46, 1, 'Aug', 0, None, None]","[57, 1, 'Aug', 0, None, None]","[31, 1, 'Aug', 0, None, None]","[35, 1, 'Aug', 0, None, None]","[24, 1, 'Aug', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[22, 1, 'Aug', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[54, 1, 'Feb', 0, None, None]","[30, 1, 'Nov', 0, None, None]","[59, 1, 'Mar', 0, None, None]","[48, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[33, 1, 'Sep', 0, None, None]","[29, 1, 'Nov', 0, None, None]","[42, 1, 'Oct', 0, None, None]","[34, 1, 'Dec', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[21, 1, 'Oct', 0, None, None]",nan,nan,nan,2019-12-04 19:48:46
Rufford Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[22, 1, 'Sep', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[30, 1, 'Sep', 0, None, None]","[39, 2, 'Sep', 0, None, None]","[30, 1, 'Oct', 0, None, None]","[20, 1, 'Oct', 0, None, None]","[28, 1, 'Sep', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[19, 2, 'Aug', 0, None, None]",nan,nan,nan,nan,"[20, 1, 'Mar', 0, None, None]","[16, 1, 'Jul', 0, None, None]","[15, 2, 'Jul', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[22, 1, 'May', 0, None, None]","[18, 1, 'Jul', 0, None, None]","[19, 1, 'Aug', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[25, 1, 'Nov', 0, None, None]","[21, 1, 'Mar', 0, None, None]","[25, 1, 'Jan', 0, None, None]","[27, 1, 'Dec', 0, None, None]",2019-12-04 19:48:46
Southwater Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 1, 'Feb', 0, None, None]","[15, 2, 'Sep', 0, None, None]","[19, 1, 'Sep', 0, None, None]","[24, 1, 'Sep', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[18, 1, 'Sep', 0, None, None]","[31, 1, 'Sep', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[27, 1, 'Sep', 0, None, None]","[24, 1, 'Sep', 0, None, None]","[25, 1, 'Nov', 0, None, None]","[36, 1, 'Oct', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[32, 1, 'Oct', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[17, 1, 'Oct', 0, None, None]",2019-12-04 19:48:46
Wedholme Flow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[110, 1, 'Apr', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[1, 1, 'Aug', 0, None, None]",2019-12-04 19:48:46
Whiteknights Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Apr', 0, None, None]",nan,nan,nan,nan,nan,nan,"[23, 1, 'Jan', 0, None, None]",2019-12-04 19:48:46
Barking Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[21, 1, 'Feb', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[31, 1, 'Nov', 0, None, None]","[23, 1, 'Feb', 0, None, None]","[26, 1, 'Apr', 0, None, None]","[31, 1, 'Sep', 0, None, None]","[35, 1, 'Jan', 0, None, None]","[21, 1, 'Aug', 0, None, None]",nan,nan,nan,"[19, 1, 'Dec', 0, None, None]","[34, 1, 'Dec', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[25, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[12, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[34, 1, 'Sep', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[26, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[18, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2019-12-04 19:48:46
Chalton Sewage Treatment Works,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Jun', 0, None, None]","[7, 1, 'Jul', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[7, 1, 'Jun', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[24, 1, 'Aug', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[5, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[8, 1, 'Nov', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[12, 1, 'May', 0, None, None]","[42, 1, 'Nov', 0, None, None]",nan,nan,2019-12-04 19:48:46
Conwy Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[9, 1, 'Mar', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[6, 1, 'May', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[31, 1, 'Mar', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[18, 1, 'Sep', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[16, 1, 'Apr', 0, None, None]","[20, 1, 'Jul', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[15, 1, 'Jun', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[12, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[8, 1, 'Oct', 0, None, None]","[20, 1, 'Aug', 0, None, None]","[18, 1, 'Aug', 0, None, None]","[15, 1, 'Aug', 0, None, None]","[33, 1, 'Sep', 0, None, None]","[26, 1, 'Oct', 0, None, None]",2019-12-04 19:48:46
Culford Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[21, 1, 'Feb', 0, None, None]","[51, 1, 'Sep', 0, None, None]","[39, 1, 'Oct', 0, None, None]",nan,nan,nan,nan,nan,nan,"[17, 1, 'Jan', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[33, 1, 'Mar', 0, None, None]","[35, 1, 'Dec', 0, None, None]","[11, 2, 'Nov', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[30, 1, 'Feb', 0, None, None]","[22, 1, 'Aug', 0, None, None]","[17, 1, 'Aug', 0, None, None]","[16, 1, 'Dec', 0, None, None]",2019-12-04 19:48:46
Danson Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[9, 1, 'Jan', 0, None, None]","[19, 1, 'Jan', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[32, 1, 'Dec', 0, None, None]","[23, 1, 'Jan', 0, None, None]","[16, 1, 'Nov', 0, None, None]",2019-12-04 19:48:46
Fen Drayton Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[35, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[21, 1, 'Sep', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[30, 1, 'Mar', 0, None, None]","[31, 1, 'Aug', 0, None, None]","[41, 1, 'Aug', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[43, 1, 'Oct', 0, None, None]","[65, 1, 'Nov', 0, None, None]","[53, 1, 'Aug', 0, None, None]","[57, 1, 'Oct', 0, None, None]","[51, 1, 'Oct', 0, None, None]","[67, 1, 'Feb', 0, None, None]","[31, 1, 'Oct', 0, None, None]","[60, 1, 'Sep', 0, None, None]","[44, 1, 'Nov', 0, None, None]","[47, 1, 'Oct', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[31, 1, 'Sep', 0, None, None]","[29, 1, 'Jan', 0, None, None]","[17, 1, 'Sep', 0, None, None]","[17, 1, 'Sep', 0, None, None]","[14, 1, 'Jul', 0, None, None]",2019-12-04 19:48:46
Fordwich and Westbere Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[40, 1, 'Jan', 0, None, None]","[28, 1, 'Jan', 0, None, None]","[34, 1, 'Feb', 0, None, None]","[40, 1, 'Feb', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[16, 1, 'Nov', 0, None, None]","[21, 1, 'Nov', 0, None, None]",nan,"[83, 1, 'Jan', 0, None, None]","[51, 1, 'Dec', 0, None, None]",nan,nan,"[39, 1, 'Sep', 0, None, None]","[52, 1, 'Sep', 0, None, None]","[42, 1, 'Sep', 0, None, None]","[61, 1, 'Sep', 0, None, None]","[21, 1, 'Oct', 0, None, None]","[34, 1, 'Sep', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[10, 2, 'Jan', 0, None, None]","[20, 2, 'Sep', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[26, 1, 'Sep', 0, None, None]","[31, 1, 'Sep', 0, None, None]",2019-12-04 19:48:46
